"Date","Price","Open","High","Low","Change %"
"Jul 07, 2019","5.7200","5.6404","5.8049","5.6403","1.62%"
"Jun 30, 2019","5.6288","5.7920","5.7920","5.5725","-2.82%"
"Jun 23, 2019","5.7921","5.8251","5.8341","5.7013","-0.50%"
"Jun 16, 2019","5.8214","5.8990","5.9270","5.7190","-1.36%"
"Jun 09, 2019","5.9015","5.8324","5.9329","5.7435","1.21%"
"Jun 02, 2019","5.8310","5.8399","5.8932","5.6641","-0.12%"
"May 26, 2019","5.8382","6.0844","6.1010","5.8090","-4.02%"
"May 19, 2019","6.0825","6.0558","6.1520","5.9910","0.45%"
"May 12, 2019","6.0550","6.0032","6.1315","5.9540","1.17%"
"May 05, 2019","5.9851","5.9723","6.2539","5.9600","0.34%"
"Apr 28, 2019","5.9648","5.9425","5.9953","5.9212","0.45%"
"Apr 21, 2019","5.9382","5.8112","5.9796","5.8040","2.19%"
"Apr 14, 2019","5.8112","5.7643","5.8480","5.6910","0.73%"
"Apr 07, 2019","5.7693","5.6261","5.8235","5.6111","2.54%"
"Mar 31, 2019","5.6262","5.5565","5.7040","5.4085","1.27%"
"Mar 24, 2019","5.5555","5.7771","5.7866","5.2830","-3.60%"
"Mar 17, 2019","5.7627","5.4466","5.8450","5.4062","5.80%"
"Mar 10, 2019","5.4467","5.4270","5.4802","5.4205","0.30%"
"Mar 03, 2019","5.4303","5.3778","5.4917","5.3602","1.04%"
"Feb 24, 2019","5.3742","5.3188","5.4054","5.2790","1.05%"
"Feb 17, 2019","5.3186","5.2757","5.3428","5.2702","0.90%"
"Feb 10, 2019","5.2714","5.2471","5.3236","5.2310","0.46%"
"Feb 03, 2019","5.2474","5.2010","5.2945","5.1740","0.75%"
"Jan 27, 2019","5.2084","5.2585","5.3629","5.1560","-1.15%"
"Jan 20, 2019","5.2688","5.3242","5.3664","5.2428","-1.12%"
"Jan 13, 2019","5.3283","5.4530","5.5434","5.3152","-2.32%"
"Jan 06, 2019","5.4550","5.3350","5.5476","5.3158","2.32%"
"Dec 30, 2018","5.3311","5.2725","5.8300","5.2530","1.11%"
"Dec 23, 2018","5.2725","5.3155","5.3379","5.2430","-0.86%"
"Dec 16, 2018","5.3181","5.3639","5.3973","5.1950","-0.85%"
"Dec 09, 2018","5.3635","5.2957","5.4219","5.2630","1.14%"
"Dec 02, 2018","5.3029","5.2128","5.4542","5.1370","1.73%"
"Nov 25, 2018","5.2128","5.2877","5.3009","5.1220","-1.41%"
"Nov 18, 2018","5.2875","5.3347","5.4387","5.2520","-0.83%"
"Nov 11, 2018","5.3318","5.4606","5.5299","5.3024","-2.36%"
"Nov 04, 2018","5.4606","5.4296","5.5421","5.2940","0.57%"
"Oct 28, 2018","5.4296","5.5929","5.6492","5.3980","-2.92%"
"Oct 21, 2018","5.5929","5.6486","5.8690","5.5626","-0.88%"
"Oct 14, 2018","5.6425","5.8664","5.9017","5.5083","-3.91%"
"Oct 07, 2018","5.8721","6.1343","6.1910","5.8068","-4.26%"
"Sep 30, 2018","6.1333","6.0580","6.2283","5.8780","1.28%"
